,id,source
553,48134695,inat
554,48130428,inat
555,48107710,inat
556,48101656,inat
557,48092209,inat
558,48047764,inat
559,48045707,inat
560,48043069,inat
561,48027064,inat
562,48023888,inat
563,48020840,inat
564,48016712,inat
565,48008338,inat
566,48005763,inat
567,47997542,inat
568,47991159,inat
569,47990300,inat
570,47988056,inat
571,47985613,inat
572,47961791,inat
573,47953322,inat
574,47953233,inat
575,47953044,inat
576,47867766,inat
577,47840631,inat
578,47826580,inat
579,47760690,inat
580,47720220,inat
581,47632494,inat
582,47626402,inat
583,47619924,inat
584,47609440,inat
585,47597309,inat
586,47558410,inat
587,47545017,inat
588,47539584,inat
589,47526656,inat
590,47516182,inat
591,47511111,inat
592,47505727,inat
593,47490832,inat
594,47419796,inat
595,47402482,inat
596,47389055,inat
597,47382389,inat
598,47376928,inat
599,47349262,inat
600,47337693,inat
601,47313027,inat
602,47304337,inat
603,47285748,inat
604,47285713,inat
605,47284864,inat
606,47236487,inat
607,47205879,inat
608,47184922,inat
609,47163917,inat
610,47131850,inat
611,47109086,inat
612,47101702,inat
613,47020584,inat
614,47020384,inat
615,47020277,inat
616,46986514,inat
617,46972541,inat
618,46968649,inat
619,46964038,inat
620,46933966,inat
621,46863414,inat
622,46860363,inat
623,46846504,inat
624,46829154,inat
625,46824662,inat
626,46712667,inat
627,46703599,inat
628,46701020,inat
629,46648964,inat
630,46647069,inat
631,46645319,inat
632,46614907,inat
633,46607362,inat
634,46588382,inat
635,46586670,inat
636,46585502,inat
637,46577879,inat
638,46571988,inat
639,46570026,inat
640,46520450,inat
641,46376426,inat
642,46361333,inat
643,46351055,inat
644,46316633,inat
645,46277288,inat
646,46274943,inat
647,46243498,inat
648,46195299,inat
649,46136783,inat
650,46108441,inat
651,46082938,inat
652,46082681,inat
653,46075531,inat
654,46071955,inat
655,46017018,inat
656,46008597,inat
657,45868664,inat
658,45776058,inat
659,45761508,inat
660,45761015,inat
661,45705884,inat
662,45603722,inat
663,45510537,inat
664,45455412,inat
665,45301489,inat
666,45301139,inat
667,45279645,inat
668,45257534,inat
669,45242909,inat
670,45208841,inat
671,45144994,inat
672,45144915,inat
673,45105839,inat
674,45060377,inat
675,45048634,inat
676,45005691,inat
677,44980448,inat
678,44910224,inat
679,44893145,inat
680,44679922,inat
681,44638309,inat
682,44628278,inat
683,44582043,inat
684,44490669,inat
685,44476216,inat
686,44470674,inat
687,44468093,inat
688,44459139,inat
689,44411386,inat
690,44389754,inat
691,44380651,inat
692,44306061,inat
693,44233941,inat
694,44173734,inat
695,44098868,inat
696,43966379,inat
697,43898108,inat
698,43573314,inat
699,43390323,inat
700,43332722,inat
701,43046969,inat
702,42975413,inat
703,42972072,inat
704,42967935,inat
705,42832221,inat
706,42770393,inat
707,42765313,inat
708,42700460,inat
709,42556346,inat
710,42530755,inat
711,42476060,inat
712,42454440,inat
713,42409900,inat
714,42235549,inat
715,42234494,inat
716,42177016,inat
717,42148342,inat
718,42102950,inat
719,42099909,inat
