"","X","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"24",24,"LQHPT_4","LQHPT",4,0.7823,0.750931602067183,0.00234365195006536,0.0348922532574025,0.00167881511492421,0.0188261351052049,0.000394280661606629,0.14562569213732,0.00292276636632659,6532.44554877723,134.01166258492,6.96285659906284e-16,55
"25",25,"LQ_3.5","LQ",3.5,0.6951,0.68688203949797,0.000915024799231688,0.0161507139615264,0.000716737409039238,0.00941306755260244,0.000166174275731565,0.117386489479513,0.000272715900854663,6521.53783848798,123.10395229567,1.9232099462974e-16,10
"26",26,"LQP_3.5","LQP",3.5,0.7165,0.697672128091547,0.000741561701525712,0.0226069142201148,0.00114999938688046,0.00941306755260244,0.000166174275731565,0.126910299003322,0.00130661422672548,6513.35849280169,114.92460660938,1.14854772242631e-14,15
"27",27,"LQT_3.5","LQT",3.5,0.7833,0.737810051679587,0.00143789490182478,0.0429629268779183,0.00215098599064944,0.00952380952380952,0.000453514739229025,0.15968992248062,0.00284789596386599,6451.90015718637,53.4662709940603,0.254481992975637,24
"28",28,"LQH_3.5","LQH",3.5,0.7653,0.72751503875969,0.00088563520842473,0.033689226576854,0.00218923474070856,0.0141749723145072,0.00045093934454979,0.108305647840532,0.0027595967177208,6569.53729962922,171.10341343691,7.26233272639718e-27,61
"29",29,"LQHT_3.5","LQHT",3.5,0.7872,0.749409250645995,0.0014080249933651,0.0396838639344218,0.00238685998039936,0.0236987818383167,0.00170074159102978,0.140974529346622,0.00332005165505899,6565.48746635217,167.05358015986,5.50156520748695e-26,67
"30",30,"LQTP_3.5","LQTP",3.5,0.7882,0.741789331856774,0.000939586732538449,0.0463408128514019,0.00117846960403938,0.0141749723145072,0.00045093934454979,0.174197120708749,0.00556861648571453,6449.7504587679,51.3165725755907,0.745518007024351,25
"31",31,"LQHP_3.5","LQHP",3.5,0.7666,0.728066290143965,0.000975317780080425,0.0358830597012367,0.00232908216035812,0.0188261351052049,0.000394280661606629,0.122148394241417,0.000702346920379834,6567.27705369227,168.84316749996,2.24844522193307e-26,61
"32",32,"LQHPT_3.5","LQHPT",3.5,0.7885,0.749451225544481,0.00137548690835893,0.0412049230543299,0.00270059552746343,0.019047619047619,0.0018140589569161,0.14562569213732,0.00260022884221293,6563.2565489308,164.82266273849,1.67850959296857e-25,67
"33",33,"LQ_3","LQ",3,0.7007,0.68627534514581,0.00177209442138739,0.0240171668580937,0.000935560945258419,0.0142857142857143,0.000453514739229025,0.117718715393134,0.00310727499941747,6519.60080948671,121.1669232944,2.68419372003042e-19,12
"34",34,"LQP_3","LQP",3,0.7233,0.703341282761166,0.00268908837187277,0.0324713423911656,0.00142798420114532,0.0142857142857143,0.000453514739229025,0.11749723145072,0.00331250942778409,6505.26544084869,106.83155465638,3.48096457603274e-16,16
"35",35,"LQT_3","LQT",3,0.7923,0.745596234772979,0.00547034641973182,0.0507888811247605,0.00568592309641205,0.00476190476190476,0.000113378684807256,0.146068660022148,0.0089090873414446,6434.07985850983,35.6459723175203,0.998739908510116,26
"36",36,"LQH_3","LQH",3,0.7726,0.742003669250646,0.00321669443867114,0.0351782058463532,0.00212393931357655,0.00476190476190476,0.000113378684807256,0.126910299003322,0.00323862012805843,6566.15767355238,167.723787360071,2.0850634563314e-29,64
"37",37,"LQHT_3","LQHT",3,0.7924,0.758799335548173,0.00523810915144671,0.0434164060325613,0.0039873775661822,0.00952380952380952,0.000453514739229025,0.150719822812846,0.00813003045097613,6595.74034427419,197.30645808188,7.85821577102651e-36,77
"38",38,"LQTP_3","LQTP",3,0.7975,0.747268493909192,0.00463806807988629,0.0549991573815981,0.00470586298258789,0.00952380952380952,0.000453514739229025,0.160354374307863,0.00896445832704814,6447.43047863695,48.9965924446406,0.00126009148988422,33
"39",39,"LQHP_3","LQHP",3,0.7749,0.742593244739756,0.00298515676561878,0.0377148408515589,0.00179689664870082,0.00476190476190476,0.000113378684807256,0.126910299003322,0.00323862012805843,6574.13756431255,175.703678120241,3.85751847795897e-31,67
"40",40,"LQHPT_3","LQHPT",3,0.7967,0.757861048357327,0.00488876589284728,0.048027447500039,0.00346331731106083,0.00952380952380952,0.000453514739229025,0.155370985603544,0.00783772315488301,6550.96652386868,152.532637676371,4.14796914720238e-26,69
"41",41,"LQ_2.5","LQ",2.5,0.7073,0.695679802510151,0.00519195528916349,0.027418839076335,0.00452075497600629,0.013953488372093,0.000973499188750676,0.10797342192691,0.00410376878351845,6514.42971646745,115.99583027514,1.28824142429679e-20,13
"42",42,"LQP_2.5","LQP",2.5,0.7335,0.711485199335548,0.00335909712991591,0.0290351545740015,0.00507763178812221,0.00930232558139535,0.000432666306111412,0.117165005537099,0.00162458349122955,6499.15974843735,100.72586224504,2.66580689702324e-17,20
"43",43,"LQT_2.5","LQT",2.5,0.8024,0.753359180509413,0.00313493781020287,0.0497976089642711,0.00443883387969838,0.013953488372093,0.000973499188750676,0.140863787375415,0.00113709806980301,6422.83626573739,24.4023795450803,0.998302998026255,33
